route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
BRONZE,BZ1 SCHMF,[@7.0.41201636@][3][1243611110703]/4__BZ1_SCHMF,Lincoln Square,0,BZ1 SCHMF,8E
ILLINI LIMITED SATURDAY,I1  UISA,[@6.0.14330204@][2][1622384445965]/52__I1__UISA,Transit Plaza,1,I1  UISA,ILLINI LIMITED WEEKEND 845
ILLINI LIMITED SUNDAY,I2 NONUISU,[@6.0.14330187@][2][1622253008700]/44__I2_NONUISU,Transit Plaza,1,I2 NONUISU,[@124.0.92244155@]ILLINI LIMITED WEEKEND 845
ILLINI LIMITED SATURDAY,I1  UISA,[@6.0.14330204@][1][1622384291845]/4__I1__UISA,Lincoln & Killarney,0,I1  UISA,[@6.0.14330204@]6
TEAL,T3 NON UI MF,[@7.0.41893871@][4][1243540851671]/6__T3_NON_UI_MF,Illinois Terminal,1,T3 NON UI MF,12W TEAL 12
TEAL SUNDAY,T1 NONUISU,[@124.0.92229742@][1484323714302]/113__T1_NONUISU,Illinois Terminal,1,T1 NONUISU,[@124.0.92229742@]TEAL WEEKEND 16
GOLD,G5 MF,[@7.0.41203042@][4][1246653985531]/25__G5_MF,Mattis & Devonshire,1,G5 MF,[@15.0.63191692@]369
NAVY,N1 MF,[@124.0.103534744@][31][1510337405478]/15__N1_MF,Illinois Terminal,0,N1 MF,[@124.0.103534744@]2
ILLINI LIMITED,I1 NONUIMF,[@6.0.14327389@][2][1622151942711]/50__I1_NONUIMF,Transit Plaza,1,I1 NONUIMF,[@6.0.14327389@]15
SILVER LIMITED SUNDAY,SV1 NONUISU,[@124.0.92241454@][1484326515007]/40__SV1_NONUISU,Lincoln Square,0,SV1 NONUISU,[@124.0.92241454@]4
ORANGEHOPPER,O3 MF,[@14.0.52435578@][3][1275675740468]/36__O3_MF,University & Cottage Grove,0,O3 MF,[@15.0.68513410@]21
ILLINI EVENING SATURDAY,I6 UISA,[@124.0.92260187@][1484328831455]/111__I6_UISA,PAR,1,I6 UISA,[@124.0.92260187@]220S ILLINI 20
LIME SATURDAY,LM1SA,[@124.0.94415201@][11][1496415327969]/10__LM1SA,Kirby & Duncan,0,LM1SA,[@15.0.73009433@]51
ILLINI,I5 UIMTH,[@7.0.41200832@][1][1238430123625]/26__I5_UIMTH,Lincoln & Killarney,0,I5 UIMTH,22N ILLINI 10
SILVER EVENING SATURDAY,SV2 UISA,[@124.0.92284627@][1484347218447]/169__SV2_UISA,Lincoln Square,0,SV2 UISA,[@124.0.92284627@]130N SILVER EVENING 1
TEAL EVENING,T1 UI F,[@7.0.41903462@][4][1243545654281]/14__T1_UI_F,Illinois Terminal,1,T1 UI F,TEAL EVENING 12
TEAL,T1 NON UI MF,[@7.0.41893871@][3][1243541396687]/85__T1_NON_UI_MF,Orchard Downs,0,T1 NON UI MF,12E TEAL 13
TEAL SATURDAY,T1 UISA,[@12.0.44194660@][1250946648828]/25__T1_UISA,Illinois Terminal,1,T1 UISA,TEAL WEEKEND 16
GREEN ALT,5E SHOW #2 WED,[@2.0.84887452@][1455575490653]/66__5E_SHOW_#2_WED,Scottswood,0,5E SHOW #2 WED,[@2.0.84887452@]GREEN 336
ILLINI LIMITED SUNDAY,I2 NONUISU,[@6.0.14330187@][1][1622252763821]/3__I2_NONUISU,Lincoln & Killarney,0,I2 NONUISU,[@6.0.14330187@]6
TEAL SATURDAY,T1 NONUISA,[@12.0.44194660@][1250946648828]/21__T1_NONUISA,Illinois Terminal,1,T1 NONUISA,TEAL WEEKEND 16
SILVER SUNDAY,SV1 UISU,[@124.0.92281033@][1484346076492]/0__SV1_UISU,Vet-Med,1,SV1 UISU,[@124.0.92281033@]SILVER WEEKEND 42
TEAL,T1 NON UI MF,[@7.0.41893871@][4][1243540851671]/3__T1_NON_UI_MF,Illinois Terminal,1,T1 NON UI MF,12W TEAL 12
ILLINI LIMITED SATURDAY,I2   UISA,[@6.0.14330204@][1][1622384291845]/31__I2___UISA,Lincoln & Killarney,0,I2   UISA,[@6.0.14330204@]6
SILVER LIMITED SUNDAY,SV1 NONUISU,[@124.0.92241454@][1484326515007]/80__SV1_NONUISU,Transit Plaza,1,SV1 NONUISU,[@124.0.92241454@]7
LIME SUNDAY,LM2 SU,[@124.0.94415718@][12][1496267134824]/23__LM2_SU,YMCA,1,LM2 SU,[@15.0.74000704@]41
GREY EVENING SATURDAY,GR5SA,[@124.0.92319406@][1484577670364]/30__GR5SA,Round Barn Road,1,GR5SA,[@124.0.92319406@]7
ILLINI,I2 UIMTH,[@7.0.41200832@][1][1238430123625]/64__I2_UIMTH,Lincoln & Killarney,0,I2 UIMTH,22N ILLINI 10
ILLINI EVENING,I8 UIF,[@7.0.41950648@][1244056065453]/84__I8_UIF,Lincoln & Killarney,0,I8 UIF,220N ILLINI 10
GREEN LATE NIGHT SUNDAY,GR3 UISU,[@124.0.92345918@][1484579847669]/54__GR3_UISU,Lincoln Square,0,GR3 UISU,[@124.0.92345918@]50E-LATE
LIME SUNDAY,LM2 SU,[@124.0.94415718@][12][1496267134824]/22__LM2_SU,YMCA,1,LM2 SU,[@15.0.74000704@]41
LIME EVENING,LM2 MF,[@124.0.94416751@][12][1496264709690]/1__LM2_MF,YMCA,1,LM2 MF,[@15.0.73008754@]38
GREEN,GN3 NOSCH,3GN305__GN3_NOSCH,Round Barn Road - Holiday Park,1,GN3 NOSCH,5W-PM
PINK,P2 MF,[@2.0.81838518@][12][1430161301181]/23__P2_MF,Round Barn Road,1,P2 MF,[@2.0.81838518@]103
ILLINI,I3 UIMTH,[@7.0.41200832@][1][1238430123625]/49__I3_UIMTH,Lincoln & Killarney,0,I3 UIMTH,22N ILLINI 10
GREENHOPPER EVENING,GN3 NOSCH,[@15.0.68512960@][3][1370013726286]/1__GN3_NOSCH,Lincoln Square,0,GN3 NOSCH,[@15.0.68512960@]112
GREEN SATURDAY,GR1SA,GN4SAT000__GR1SA,Orchard Downs,0,GR1SA,50E->PC
BLUE,B3 SCHMF,[@14.0.56288268@][4][1302637941595]/18__B3_SCHMF,Round Barn Road,1,B3 SCHMF,4W
YELLOW SATURDAY,Y1 UISA,[@15.0.63192124@][2][1338469240094]/24__Y1_UISA,Savoy Walmart,1,Y1 UISA,[@14.0.57766396@]100S
SILVER SATURDAY,SV2 UISA,[@12.0.44184681@][1250945403296]/77__SV2_UISA,Lincoln Square,0,SV2 UISA,130N SILVER WEEKEND 2
SILVER LIMITED SUNDAY,SV1 NONUISU,[@124.0.92241454@][1484326515007]/75__SV1_NONUISU,Transit Plaza,1,SV1 NONUISU,[@124.0.92241454@]7
SILVER SATURDAY,SV1 UISA,[@12.0.44184681@][1250945403296]/66__SV1_UISA,Lincoln Square,0,SV1 UISA,130N SILVER WEEKEND 1
GREY SUNDAY,GN3 SU,[@2.0.85633657@][32][1463429698711]/5__GN3_SU,Round Barn Road,1,GN3 SU,70WIT->CF
GREEN,GN5 MF,5GN566__GN5_MF,Main & Brady,0,GN5 MF,[@15.0.68508734@]48
YELLOW EVENING SATURDAY,Y5SA,[@124.0.92247832@][1484327725398]/34__Y5SA,Champaign Walmart,0,Y5SA,[@124.0.92247832@]100N
GOLDHOPPER,G3 MF,[@14.0.56289113@][4][1303767496742]/13__G3_MF,Lot E-14,1,G3 MF,GOLDHOPPER 1
YELLOW,Y5 UIMF,[@6.0.14329702@][1][1622066420557]/56__Y5_UIMF,Champaign Walmart,0,Y5 UIMF,[@15.0.63189004@]23
ILLINI EVENING,I5 UIMTH,[@7.0.41950648@][1244056065453]/89__I5_UIMTH,Lincoln & Killarney,0,I5 UIMTH,220N ILLINI 10
ILLINI EVENING SUNDAY,I5 UISU,[@124.0.92263401@][1484328944432]/27__I5_UISU,Lincoln & Killarney,0,I5 UISU,[@124.0.92263401@]220N ILLINI 10
GREY SUNDAY,GR4 SU,[@2.0.85633657@][31][1463430303388]/33__GR4_SU,Lincoln Square - Urbana Walmart,0,GR4 SU,70E-WKND
YELLOW SATURDAY,Y3SA,[@15.0.63192124@][1][1338414280664]/17__Y3SA,Champaign Walmart,0,Y3SA,[@14.0.57766396@]100N
BRONZE,BZ2 WED,[@14.0.51709163@][4][1277737126250]/0__BZ2_WED,Transit Plaza,1,BZ2 WED,8W
ILLINI LIMITED,I1 NONUIMF,[@6.0.14327389@][2][1622151942711]/52__I1_NONUIMF,Transit Plaza,1,I1 NONUIMF,[@6.0.14327389@]15
TEAL SATURDAY,T1 NONUISA,[@12.0.44194660@][1250946648828]/135__T1_NONUISA,Orchard Downs,0,T1 NONUISA,12E TEAL WEEKEND 13
ILLINI EVENING SATURDAY,I3 UISA,[@124.0.92260187@][1484328831455]/82__I3_UISA,PAR,1,I3 UISA,[@124.0.92260187@]220S ILLINI 20
GREEN SUNDAY,GR3 NONUISU,[@124.0.92334988@][1484579202830]/36__GR3_NONUISU,Orchard Downs,0,GR3 NONUISU,[@124.0.92334988@]50E->PC
LAVENDER SUNDAY,L2 SU,[@15.0.71205318@][1381241976567]/17__L2_SU,Illinois Terminal,1,L2 SU,[@15.0.71205318@]30SBB->IT
GREEN EVENING SATURDAY,GN3 NONUISA,[@124.0.92311676@][1484576395235]/0__GN3_NONUISA,Urbana Meijer,0,GN3 NONUISA,[@124.0.92311676@]32
TEAL SUNDAY,T1 NONUISU,[@124.0.92229742@][1484323714302]/79__T1_NONUISU,Illinois Terminal,1,T1 NONUISU,[@124.0.92229742@]TEAL WEEKEND 16
SILVER EVENING SATURDAY,SV2 UISA,[@124.0.92284627@][1484347218447]/135__SV2_UISA,Lincoln Square,0,SV2 UISA,[@124.0.92284627@]130N SILVER EVENING 2
RED,R2 MF,[@14.0.56288404@][1][1302710871468]/6__R2_MF,Trails - Market Place - Ashland Park,0,R2 MF,[@14.0.56288404@]5
RUBY SATURDAY,RUB1 SA,[@15.0.64657075@][1339528341508]/0__RUB1_SA,Lincoln Square,1,RUB1 SA,[@15.0.64657075@]2
SILVER SATURDAY,SV1 UISA,[@12.0.44184681@][1250945403296]/276__SV1_UISA,Vet-Med,1,SV1 UISA,130S SILVER WEEKEND 3
GREY,GR1 MF SCH,[@2.0.80545657@][31][1425487417760]/11__GR1_MF_SCH,Urbana Walmart,0,GR1 MF SCH,7E->LSG
SILVER SATURDAY,SV1 UISA,[@12.0.44184681@][1250945403296]/272__SV1_UISA,PAR,1,SV1 UISA,SILVER WEEKEND 31
LINK,LN3 MF,[@6.0.15252684@][2][1622672028480]/64__LN3_MF,Water Survey,1,LN3 MF,[@6.0.15252684@]2
TEAL SATURDAY,T1 NONUISA,[@12.0.44194660@][1250946648828]/13__T1_NONUISA,Illinois Terminal,1,T1 NONUISA,TEAL WEEKEND 16
SILVER,SV3 UI MF,[@12.0.42199629@][4][1246896960625]/124__SV3_UI_MF,PAR,1,SV3 UI MF,SILVER 120
GREY,GR3 NONUIMF,[@2.0.80545657@][32][1425489629219]/35__GR3_NONUIMF,Parkland College,1,GR3 NONUIMF,7W
GREEN,GN3 SCHWED ONLY,3GN305__GN3_SCHWED_ONLY,Round Barn Road - Holiday Park,1,GN3 SCHWED ONLY,5W-PM
GREY SATURDAY,GR4SA,[@15.0.73008535@][31][1401898680792]/4__GR4SA,Lincoln Square - Urbana Walmart,0,GR4SA,[@15.0.69172548@]1
YELLOW SATURDAY,Y2 NONUISA,[@15.0.63192124@][2][1338469240094]/10__Y2_NONUISA,Savoy Walmart,1,Y2 NONUISA,[@14.0.57766396@]100S
ILLINI,I5 UIF 1,[@7.0.41200832@][2][1238430887312]/155__I5_UIF_1,PAR,1,I5 UIF 1,22S ILLINI 20
GREY SATURDAY,GN2 NONUISA,[@15.0.73008535@][31][1401898734559]/17__GN2_NONUISA,Lincoln Square - Urbana Walmart,0,GN2 NONUISA,[@15.0.69172548@]1
GREEN LATE NIGHT SUNDAY,GR3 UISU,[@124.0.92345918@][1484579847669]/50__GR3_UISU,Lincoln Square,0,GR3 UISU,[@124.0.92345918@]50E-LATE
GREEN,GN1 MF,[@15.0.68508734@][3][1375908093213]/0__GN1_MF,Main & Brady,0,GN1 MF,[@15.0.68508734@]58
RUBY EVENING SATURDAY,RUB1 SA,[@124.0.92246230@][1484327414903]/8__RUB1_SA,Lincoln Square,1,RUB1 SA,[@124.0.92246230@]2
YELLOW SUNDAY,Y2 NONUISU,[@124.0.92236898@][1484325332995]/7__Y2_NONUISU,Savoy Walmart,1,Y2 NONUISU,[@124.0.92236898@]Y2SUNPO
SILVER EVENING SATURDAY,SV2 UISA,[@124.0.92284627@][1484347218447]/163__SV2_UISA,Lincoln Square,0,SV2 UISA,[@124.0.92284627@]130N SILVER EVENING 1
YELLOW LATE NIGHT SUNDAY,Y5 UISU,[@124.0.92330667@][1484578259855]/29__Y5_UISU,Champaign Walmart,0,Y5 UISU,[@124.0.92330667@]100NLTNT->
TEAL,T1 UI F,[@14.0.51708725@][4][1275506123875]/19__T1_UI_F,Illinois Terminal,1,T1 UI F,TEAL 23
TEAL SATURDAY,T2 NONUISA,[@12.0.44194660@][1250946648828]/259__T2_NONUISA,Orchard Downs,0,T2 NONUISA,12E TEAL WEEKEND 13
GREY SATURDAY,GN2 UISA,[@15.0.73008535@][31][1401898734559]/17__GN2_UISA,Lincoln Square - Urbana Walmart,0,GN2 UISA,[@15.0.69172548@]1
GOLDHOPPER,G5 MF,[@7.0.41987615@][3][1246632955750]/29__G5_MF,Lincoln Square,0,G5 MF,GOLDHOPPER 2
YELLOW LATE NIGHT SUNDAY,Y2 UISU,[@124.0.92330667@][1484578259855]/60__Y2_UISU,Lot E-14,1,Y2 UISU,[@124.0.92330667@]100SLTNT->
SILVER,SV4 UIF SCH,[@12.0.42199629@][3][1246896590515]/61__SV4_UIF_SCH,Lincoln Square,0,SV4 UIF SCH,SILVER 2
ILLINI LIMITED SUNDAY,I1 UISU,[@6.0.14330187@][2][1622253008700]/35__I1_UISU,Transit Plaza,1,I1 UISU,[@124.0.92244155@]ILLINI LIMITED WEEKEND 845
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][1][1363722440092]/70__SV1_NONUISA,Lincoln Square,0,SV1 NONUISA,[@15.0.67916770@]2
GREEN,GN5 MF,5GN562__GN5_MF,Main & Brady,0,GN5 MF,5E
YELLOW SUNDAY,Y5 NONUISU,[@124.0.92236898@][1484325332995]/70__Y5_NONUISU,Savoy Walmart,1,Y5 NONUISU,[@124.0.92236898@]100S
TEAL LATE NIGHT SUNDAY,T1 UISU,[@124.0.92276155@][1484344792164]/46__T1_UISU,Illinois Terminal,1,T1 UISU,[@124.0.92276155@]120W TEAL LATE 12
ILLINI LIMITED,I1 NONUIMF,[@6.0.14327389@][2][1622150842485]/39__I1_NONUIMF,Transit Plaza,1,I1 NONUIMF,[@6.0.14327389@]14
GREENHOPPER EVENING SATURDAY,GN2 UISA,[@7.0.42019048@][1245177724421]/77__GN2_UISA,Sunnycrest,0,GN2 UISA,50E HOPPER 102
PINK ALT,16B #2 SHOW MF,[@124.0.112274586@][12][1525294583873]/4__16B_#2_SHOW_MF,Sawgrass / Kirby & Cobblefield,1,16B #2 SHOW MF,[@124.0.112274586@]126
SILVER SATURDAY,SV2 UISA,[@12.0.44184681@][1250945403296]/89__SV2_UISA,Lincoln Square,0,SV2 UISA,130N SILVER WEEKEND 2
YELLOW LATE NIGHT SATURDAY,Y2 UISA,[@124.0.92327957@][1484578220911]/34__Y2_UISA,Illinois Terminal,0,Y2 UISA,[@124.0.92327957@]100N-LATE
ILLINI LIMITED EVENING,I2 NONUIMF,[@6.0.14328849@][2][1622467715328]/20__I2_NONUIMF,Transit Plaza,1,I2 NONUIMF,ILLINI 845 315
TEAL SUNDAY,T1 UISU,[@124.0.92229742@][1484323714302]/50__T1_UISU,Orchard Downs,0,T1 UISU,[@124.0.92229742@]12E TEAL WEEKEND 13
YELLOW LATE NIGHT SUNDAY,Y5 UISU,[@124.0.92330667@][1484578259855]/39__Y5_UISU,Lot E-14,1,Y5 UISU,[@124.0.94417623@]1
RED,R5 MF,[@14.0.56288404@][1][1302720941921]/11__R5_MF,Market Place,0,R5 MF,RED 1
1S YELLOW ALT,1S SHOW WED,[@14.0.56288919@][4][1314631353380]/0__1S_SHOW_WED,Alternate,1,1S SHOW WED,[@124.0.94414886@]5
SILVER SATURDAY,SV2 UISA,[@12.0.44184681@][1250945403296]/75__SV2_UISA,Lincoln Square,0,SV2 UISA,130N SILVER WEEKEND 1
RED,R5 MF,[@14.0.56288404@][2][1305744039868]/0__R5_MF,Lincoln Square,1,R5 MF,[@14.0.56288404@]21
7W GREY ALT,7W SHOW WED,[@6.0.14329867@][32][1628695583867]/1__7W_SHOW_WED,John & Crescent,1,7W SHOW WED,[@124.0.94416686@]2
GREY ALT,GR1 MF SCH,[@2.0.84907145@][1455575595497]/7__GR1_MF_SCH,State & Green,0,GR1 MF SCH,[@2.0.84907145@]25
LINK,LN3 MF,[@6.0.15252684@][1][1622671552500]/16__LN3_MF,University and Wright,0,LN3 MF,[@6.0.15252684@]1
ILLINI EVENING SATURDAY,I3 UISA,[@124.0.92260187@][1484328831455]/174__I3_UISA,PAR,1,I3 UISA,[@124.0.92260187@]220S ILLINI 20
NAVY,N2 MF,[@124.0.103534744@][31][1510337336593]/2__N2_MF,Illinois Terminal,0,N2 MF,[@124.0.103534744@]NAVY 1
ILLINI EVENING,I2 UIMTH,[@7.0.41950648@][1244056065453]/116__I2_UIMTH,Lincoln & Killarney,0,I2 UIMTH,220N ILLINI 10
TEAL,T1 UI F,[@124.0.111414163@][32][1526581741723]/3__T1_UI_F,PAR,1,T1 UI F,12W TEAL 12
SILVER SATURDAY,SV2 UISA,[@12.0.44184681@][1250945403296]/81__SV2_UISA,Lincoln Square,0,SV2 UISA,130N SILVER WEEKEND 1
RED,R6,[@14.0.56288404@][1][1302722478769]/17__R6,Ashland Park - Apollo,0,R6,RED 4
PINK,P2 MF,[@2.0.81838518@][12][1430161301181]/22__P2_MF,Round Barn Road,1,P2 MF,[@2.0.81838518@]103
ILLINI,GNX5 MF,[@6.0.14329094@][2][1623175855677]/1__GNX5_MF,Illini Union,1,GNX5 MF,22S ILLINI 21
ILLINI,I7 UIF,[@7.0.41200832@][2][1238430887312]/196__I7_UIF,PAR,1,I7 UIF,22S ILLINI 20
SILVER,SV4 NON UI NOSCH,[@12.0.42199629@][4][1246896833000]/83__SV4_NON_UI_NOSCH,PAR,1,SV4 NON UI NOSCH,SILVER 120
ILLINI EVENING SATURDAY,I4 UISA,[@124.0.92260187@][1484328831455]/364__I4_UISA,Lincoln & Killarney,0,I4 UISA,[@124.0.92260187@]220N ILLINI 10
ILLINI EVENING SUNDAY,I7 UISU,[@124.0.92263401@][1484328944432]/326__I7_UISU,PAR,1,I7 UISU,[@124.0.92263401@]220S ILLINI 20
TEAL SATURDAY,T1 UISA,[@12.0.44194660@][1250946648828]/60__T1_UISA,Illinois Terminal,1,T1 UISA,12W TEAL WEEKEND 12
SILVER LATE NIGHT,SV4 UIF SCH,[@12.0.42230752@][4][1246897608421]/25__SV4_UIF_SCH,PAR,1,SV4 UIF SCH,SILVER LATE 30
GREEN EVENING SATURDAY,GN2 UISA,[@124.0.92311676@][1484576395235]/4__GN2_UISA,Round Barn Road,1,GN2 UISA,[@124.0.92311676@]71
YELLOW,Y3 MF,[@6.0.14329702@][1][1622065989279]/39__Y3_MF,Champaign Walmart,0,Y3 MF,[@6.0.14329702@]100
TEAL SATURDAY,T1 NONUISA,[@12.0.44194660@][1250946648828]/11__T1_NONUISA,Illinois Terminal,1,T1 NONUISA,TEAL WEEKEND 16
GREENHOPPER,GNX2 MF,[@7.0.41101146@][4][1237930179093]/32__GNX2_MF,Parkland College,1,GNX2 MF,5W HOPPER 81
ORANGE,O4 MF,[@2.0.86175868@][1458585713139]/0__O4_MF,Lincoln Square - US 150 & Dodson,0,O4 MF,[@2.0.86175868@]ORANGE 13
SILVER,SV4 NON UI SCH,[@12.0.42199629@][3][1246896590515]/55__SV4_NON_UI_SCH,Lincoln Square,0,SV4 NON UI SCH,SILVER 2
ILLINI EVENING,I8 UIF,[@7.0.41950648@][1244056065453]/112__I8_UIF,Lincoln & Killarney,0,I8 UIF,220N ILLINI 10
BLUE,B3 NOSCHMF,[@14.0.56288268@][3][1302634446232]/4__B3_NOSCHMF,Illinois Terminal,0,B3 NOSCHMF,BLUE 51
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][2][1363721664566]/29__SV1_NONUISA,Transit Plaza,1,SV1 NONUISA,[@15.0.67916770@]3
TEAL SUNDAY,T1 UISU,[@124.0.92229742@][1484323714302]/89__T1_UISU,Illinois Terminal,1,T1 UISU,[@124.0.92229742@]TEAL WEEKEND 16
RUBY SUNDAY,RUB1 SU,[@124.0.92234822@][1484324980985]/18__RUB1_SU,Airport & Cunningham,0,RUB1 SU,[@124.0.92234822@]1
GREEN,GN2 MF,2GN545__GN2_MF,Round Barn Road - Holiday Park,1,GN2 MF,5WPMIT->
GREEN,GN7 UIF,8GN504__GN7_UIF,Main & Brady,0,GN7 UIF,5E
SILVER,SV4 NON UI SCH,[@12.0.42199629@][3][1246896590515]/41__SV4_NON_UI_SCH,Lincoln Square,0,SV4 NON UI SCH,SILVER 2
GREEN EVENING SATURDAY,GR4SA,[@124.0.92311676@][1484576395235]/10__GR4SA,Round Barn Road,1,GR4SA,[@124.0.92311676@]71
SILVER LATE NIGHT,SV4 UIMTH SCH,[@12.0.42230752@][3][1246897512562]/8__SV4_UIMTH_SCH,Lincoln Square,0,SV4 UIMTH SCH,130N SILVERLATE 2
RED,R3 MF,[@15.0.68512636@][42][1375907660889]/1__R3_MF,Lincoln Square,1,R3 MF,[@15.0.68512636@]19
ORANGE,O4 MF,[@2.0.86175868@][1458585713139]/47__O4_MF,Round Barn Road,1,O4 MF,[@2.0.86175868@]25
GREY,GR1 MF SCH,[@2.0.80545657@][32][1425489606906]/34__GR1_MF_SCH,Parkland College,1,GR1 MF SCH,7W
YELLOW,Y4 MF,[@6.0.14329702@][2][1622063052924]/16__Y4_MF,Savoy Walmart,1,Y4 MF,YELLOW 14
TEAL SUNDAY,T2 NONUISU,[@124.0.92229742@][1484323714302]/7__T2_NONUISU,Orchard Downs,0,T2 NONUISU,[@124.0.92229742@]12E TEAL WEEKEND 13
YELLOW SATURDAY,Y1 UISA,[@15.0.63192124@][2][1338469283845]/28__Y1_UISA,Savoy Walmart,1,Y1 UISA,[@14.0.57766396@]100S->BRWSWDFLD
RED,R3 MF,[@14.0.56288404@][2][1304020391461]/0__R3_MF,Lincoln Square,1,R3 MF,RED 17
RUBY EVENING SATURDAY,RUB1 SA,[@124.0.92246230@][1484327414903]/15__RUB1_SA,Airport & Cunningham,0,RUB1 SA,[@124.0.92246230@]1
GREENHOPPER,GNX2 MF,[@7.0.41101146@][3][1237931450218]/5__GNX2_MF,Washington & Lierman,0,GNX2 MF,5E HOPPER 79
SILVER,SV4 UIMTH SCH,[@12.0.42199629@][4][1246896833000]/92__SV4_UIMTH_SCH,PAR,1,SV4 UIMTH SCH,SILVER 120
TEAL,T3 NON UI MF,[@7.0.41893871@][4][1243540851671]/12__T3_NON_UI_MF,Illinois Terminal,1,T3 NON UI MF,12W TEAL 12
ILLINI EVENING SUNDAY,I2 UISU,[@124.0.92263401@][1484328944432]/233__I2_UISU,PAR,1,I2 UISU,[@124.0.92263401@]220S ILLINI 20
BRONZE,T1 UI F,[@7.0.41201636@][4][1248385284015]/0__T1_UI_F,Orchard Downs,1,T1 UI F,BRONZE 6
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][2][1363721639425]/14__SV1_NONUISA,Transit Plaza,1,SV1 NONUISA,[@15.0.67916770@]3
ILLINI LIMITED SUNDAY,I1 NONUISU,[@6.0.14330187@][2][1622253008700]/35__I1_NONUISU,Transit Plaza,1,I1 NONUISU,[@124.0.92244155@]ILLINI LIMITED WEEKEND 845
ILLINI LIMITED SUNDAY,I2 UISU,[@6.0.14330187@][2][1622253008700]/48__I2_UISU,Transit Plaza,1,I2 UISU,[@124.0.92244155@]ILLINI LIMITED WEEKEND 845
LINK,LN3 MF,[@6.0.15252684@][1][1622671624610]/47__LN3_MF,University and Wright,0,LN3 MF,[@6.0.15252684@]1
ILLINI LIMITED,I1 NONUIMF,[@6.0.14327389@][2][1622151942711]/58__I1_NONUIMF,Transit Plaza,1,I1 NONUIMF,[@6.0.14327389@]15
TEAL,T1 UI MTWR,[@7.0.41893871@][4][1243540851671]/26__T1_UI_MTWR,Illinois Terminal,1,T1 UI MTWR,12W TEAL 12
LAVENDER SUNDAY,L2 SU,[@15.0.71205318@][1][1381243333946]/1__L2_SU,Champaign Walmart,0,L2 SU,[@15.0.71205318@]1
GREEN,I8 4S UI SCH,5GNX306__I8_4S_UI_SCH,Road Barn Road,0,I8 4S UI SCH,5ETOCF
ILLINI LIMITED SATURDAY,I2   UISA,[@6.0.14330204@][2][1622384445965]/39__I2___UISA,Transit Plaza,1,I2   UISA,ILLINI LIMITED WEEKEND 845
GREENHOPPER EVENING SATURDAY,GN1SA,[@7.0.42019048@][1245177724421]/7__GN1SA,Illinois Terminal,1,GN1SA,50W HOPPER 105
LIME EVENING SATURDAY,LM1SA,[@124.0.94417146@][11][1496417951578]/2__LM1SA,Kirby & Duncan,0,LM1SA,[@124.0.92254999@]51
GREEN EXPRESS,I8 4S UI SCH,4GN582__I8_4S_UI_SCH,Curtis & Wynstone,1,I8 4S UI SCH,5WXPM
GREY,GR1 MF NOSCH,[@2.0.80545657@][32][1425489606906]/34__GR1_MF_NOSCH,Parkland College,1,GR1 MF NOSCH,7W
GREEN LATE NIGHT,GR3 UIMF,[@7.0.38112640@][3][1219153533843]/0__GR3_UIMF,Lincoln Square,0,GR3 UIMF,50E->50WLNIGHT
LAVENDER,L2 NO SCH MF,[@15.0.63192662@][2][1334589837818]/6__L2_NO_SCH_MF,Illinois Terminal,1,L2 NO SCH MF,3S->IT
GREY SUNDAY,GR3 NONUISU,[@2.0.85633657@][32][1463429257036]/0__GR3_NONUISU,Round Barn Road,1,GR3 NONUISU,70WIT->CF
GREY SUNDAY,GR1 SU,[@2.0.85633657@][32][1463429698711]/10__GR1_SU,Round Barn Road,1,GR1 SU,70WIT->CF
YELLOWHOPPER,Y8 UIMF,[@6.0.14331263@][1][1622139626848]/36__Y8_UIMF,Illinois Terminal,0,Y8 UIMF,YELLOWHOPPER 23
TEAL,T3 NON UI MF,[@7.0.41893871@][3][1243541396687]/76__T3_NON_UI_MF,Orchard Downs,0,T3 NON UI MF,12E TEAL 13
GOLD,G1 MF,[@7.0.41203042@][4][1246652297343]/3__G1_MF,Mattis & Devonshire,1,G1 MF,GOLD 16
BRONZE ALT,BZ1 SCHMF,[@2.0.84948307@][1455637300277]/24__BZ1_SCHMF,Yankee Ridge - Transit Plaza,1,BZ1 SCHMF,[@2.0.84948307@]7
GREY EVENING,BZ1 NOSCHMF,[@15.0.68508995@][4][1368816770833]/0__BZ1_NOSCHMF,Parkland College,1,BZ1 NOSCHMF,[@15.0.68508995@]405
SILVER EVENING SUNDAY,SV2 UISU,[@124.0.92286725@][1484347296458]/150__SV2_UISU,PAR,1,SV2 UISU,[@124.0.92286725@]SILVER 121
SILVER EVENING SATURDAY,SV2 UISA,[@124.0.92284627@][1484347218447]/123__SV2_UISA,Lincoln Square,0,SV2 UISA,[@124.0.92284627@]130N SILVER EVENING 2
ORANGE,O2 MF,[@2.0.86175868@][1458585713139]/41__O2_MF,Illinois Terminal,1,O2 MF,[@2.0.86175868@]53
SILVER LIMITED EVENING,SV2 NON UI,[@15.0.67924657@][1][1363725754977]/7__SV2_NON_UI,Lincoln Square,0,SV2 NON UI,[@15.0.67924657@]4
